rank,cell_id,latitude,longitude,predicted_violations,actual_violations
1,4803_27980,12.981081,77.610781,136.93,39
2,4797_27968,12.964865,77.577495,113.99,38
3,4802_27968,12.978378,77.577495,82.73,54
4,4801_27968,12.975676,77.577495,66.25,29
5,4802_27967,12.978378,77.574722,60.43,18
6,4803_27979,12.981081,77.608007,35.59,44
7,4804_27977,12.983784,77.60246,28.49,19
8,4836_27972,13.07027,77.588591,24.32,73
9,4813_27960,13.008108,77.555305,18.38,6
10,4810_27958,13.0,77.549757,18.32,31
11,4814_27960,13.010811,77.555305,17.14,45
12,4788_27970,12.940541,77.583043,15.29,2
13,4813_28010,13.008108,77.693995,14.2,6
14,4804_27980,12.983784,77.610781,11.64,124
15,4810_28004,13.0,77.677352,11.56,0
16,4797_27970,12.964865,77.583043,11.22,0
17,4878_28005,13.183784,77.680126,11.12,22
18,4808_28011,12.994595,77.696769,10.66,3
19,4799_27967,12.97027,77.574722,9.72,2
20,4802_27969,12.978378,77.580269,8.15,14
21,4801_27967,12.975676,77.574722,8.03,0
22,4803_27981,12.981081,77.613555,7.94,32
23,4809_27959,12.997297,77.552531,7.91,15
24,4813_27966,13.008108,77.571948,7.32,20
25,4813_28011,13.008108,77.696769,7.28,6
26,4786_28009,12.935135,77.691221,7.19,0
27,4809_28001,12.997297,77.669031,7.1,9
28,4800_27969,12.972973,77.580269,6.98,21
29,4803_27976,12.981081,77.599686,6.4,0
30,4803_27967,12.981081,77.574722,6.38,5
31,4804_27958,12.983784,77.549757,6.33,1
32,4814_27959,13.010811,77.552531,6.33,19
33,4823_27972,13.035135,77.588591,6.15,7
34,4810_27966,13.0,77.571948,6.05,12
35,4798_27967,12.967568,77.574722,5.75,0
36,4785_28009,12.932432,77.691221,5.61,0
37,4802_27979,12.978378,77.608007,5.57,5
38,4800_27968,12.972973,77.577495,5.47,6
39,4751_27993,12.840541,77.64684,5.47,0
40,4809_27958,12.997297,77.549757,5.44,2
41,4789_27966,12.943243,77.571948,5.1,25
42,4804_27978,12.983784,77.605233,4.88,21
43,4801_27962,12.975676,77.560853,4.79,37
44,4796_27968,12.962162,77.577495,4.68,2
45,4815_27960,13.013514,77.555305,4.61,18
46,4801_27969,12.975676,77.580269,4.32,3
47,4797_27969,12.964865,77.580269,4.27,5
48,4795_28001,12.959459,77.669031,4.22,0
49,4801_27961,12.975676,77.558079,3.9,26
50,4795_27968,12.959459,77.577495,3.75,2
51,4801_27957,12.975676,77.546984,3.67,0
52,4812_27966,13.005405,77.571948,3.63,13
53,4803_27958,12.981081,77.549757,3.41,8
54,4800_27958,12.972973,77.549757,3.35,7
55,4797_27967,12.964865,77.574722,3.23,1
56,4808_27999,12.994595,77.663483,3.21,0
57,4815_27959,13.013514,77.552531,3.18,9
58,4813_27958,13.008108,77.549757,3.11,8
59,4783_28005,12.927027,77.680126,2.93,0
60,4791_27975,12.948649,77.596912,2.85,9
61,4821_27966,13.02973,77.571948,2.73,0
62,4804_27981,12.983784,77.613555,2.72,3
63,4828_27967,13.048649,77.574722,2.66,0
64,4806_27966,12.989189,77.571948,2.61,0
65,4802_27966,12.978378,77.571948,2.58,11
66,4804_27979,12.983784,77.608007,2.57,14
67,4807_27966,12.991892,77.571948,2.53,0
68,4776_27976,12.908108,77.599686,2.48,37
69,4796_27969,12.962162,77.580269,2.48,0
70,4786_27982,12.935135,77.616328,2.31,0
71,4798_27968,12.967568,77.577495,2.27,10
72,4803_27977,12.981081,77.60246,2.24,39
73,4811_27958,13.002703,77.549757,2.24,2
74,4785_27970,12.932432,77.583043,2.19,0
75,4799_27991,12.97027,77.641293,2.14,7
76,4797_27953,12.964865,77.535888,2.14,1
77,4775_27987,12.905405,77.630197,2.12,0
78,4879_28005,13.186486,77.680126,2.05,10
79,4846_27976,13.097297,77.599686,2.0,0
80,4803_27978,12.981081,77.605233,1.99,8
81,4801_27956,12.975676,77.54421,1.98,0
82,4752_27993,12.843243,77.64684,1.96,0
83,4776_27977,12.908108,77.60246,1.93,4
84,4809_27966,12.997297,77.571948,1.92,5
85,4792_28012,12.951351,77.699542,1.9,0
86,4791_28012,12.948649,77.699542,1.9,2
87,4810_28003,13.0,77.674578,1.9,0
88,4792_27955,12.951351,77.541436,1.89,0
89,4803_27961,12.981081,77.558079,1.86,0
90,4778_27989,12.913514,77.635745,1.81,0
91,4799_27975,12.97027,77.596912,1.79,1
92,4804_27968,12.983784,77.577495,1.77,4
93,4808_27966,12.994595,77.571948,1.77,7
94,4800_27982,12.972973,77.616328,1.76,0
95,4806_27967,12.989189,77.574722,1.76,0
